Race ID,Position,Last Name,First Name,Constructor,Points,Fastest Lap Time,Fastest Lap Avg Speed (kph),Status,Driver Code,Driver ID
14,2,Räikkönen,Kimi,Ferrari,18,1:23.515,249.713,Finished,RAI,raikkonen
14,3,Bottas,Valtteri,Mercedes,15,1:22.907,251.544,Finished,BOT,bottas
14,4,Vettel,Sebastian,Ferrari,12,1:22.505,252.770,Finished,VET,vettel
14,5,Verstappen,Max,Red Bull,10,1:23.609,249.432,Finished,VER,max_verstappen
14,6,Ocon,Esteban,Force India,8,1:24.243,247.555,Finished,OCO,ocon
14,7,Pérez,Sergio,Force India,6,1:24.179,247.743,Finished,PER,perez
14,8,Sainz,Carlos,Renault,4,1:23.529,249.671,Finished,SAI,sainz
14,9,Stroll,Lance,Williams,2,1:24.056,248.106,+1 Lap,STR,stroll
14,10,Sirotkin,Sergey,Williams,1,1:24.580,246.568,+1 Lap,SIR,sirotkin
14,11,Leclerc,Charles,Sauber,0,1:23.768,248.959,+1 Lap,LEC,leclerc
14,12,Vandoorne,Stoffel,McLaren,0,1:24.504,246.790,+1 Lap,VAN,vandoorne
14,13,Hülkenberg,Nico,Renault,0,1:24.772,246.010,+1 Lap,HUL,hulkenberg
14,14,Gasly,Pierre,Toro Rosso,0,1:24.059,248.097,+1 Lap,GAS,gasly
14,15,Ericsson,Marcus,Sauber,0,1:24.767,246.024,+1 Lap,ERI,ericsson
14,16,Magnussen,Kevin,Haas F1 Team,0,1:23.768,248.959,+1 Lap,MAG,kevin_magnussen
14,17,Ricciardo,Daniel,Red Bull,0,1:25.692,243.369,Engine,RIC,ricciardo
14,18,Alonso,Fernando,McLaren,0,1:25.229,244.691,Engine,ALO,alonso
14,19,Hartley,Brendon,Toro Rosso,0,1:27.009,239.685,Brakes,HAR,brendon_hartley
14,20,Grosjean,Romain,Haas F1 Team,0,,,Disqualified,GRO,grosjean
15,1,Hamilton,Lewis,Mercedes,25,1:42.913,177.108,Finished,HAM,hamilton
15,2,Verstappen,Max,Red Bull,18,1:43.345,176.368,Finished,VER,max_verstappen
15,3,Vettel,Sebastian,Ferrari,15,1:44.669,174.137,Finished,VET,vettel
15,4,Bottas,Valtteri,Mercedes,12,1:44.720,174.052,Finished,BOT,bottas
15,5,Räikkönen,Kimi,Ferrari,10,1:44.715,174.061,Finished,RAI,raikkonen
15,6,Ricciardo,Daniel,Red Bull,8,1:43.120,176.753,Finished,RIC,ricciardo
15,7,Alonso,Fernando,McLaren,6,1:43.164,176.677,Finished,ALO,alonso
15,8,Sainz,Carlos,Renault,4,1:45.211,173.240,+1 Lap,SAI,sainz
15,9,Leclerc,Charles,Sauber,2,1:45.203,173.253,+1 Lap,LEC,leclerc
15,10,Hülkenberg,Nico,Renault,1,1:46.093,171.800,+1 Lap,HUL,hulkenberg
15,11,Ericsson,Marcus,Sauber,0,1:45.169,173.309,+1 Lap,ERI,ericsson
15,12,Vandoorne,Stoffel,McLaren,0,1:45.555,172.675,+1 Lap,VAN,vandoorne
15,13,Gasly,Pierre,Toro Rosso,0,1:46.063,171.848,+1 Lap,GAS,gasly
15,14,Stroll,Lance,Williams,0,1:46.033,171.897,+1 Lap,STR,stroll
15,15,Grosjean,Romain,Haas F1 Team,0,1:45.904,172.106,+1 Lap,GRO,grosjean
15,16,Pérez,Sergio,Force India,0,1:45.389,172.947,+1 Lap,PER,perez
15,17,Hartley,Brendon,Toro Rosso,0,1:44.889,173.772,+1 Lap,HAR,brendon_hartley
15,18,Magnussen,Kevin,Haas F1 Team,0,1:41.905,178.860,+2 Laps,MAG,kevin_magnussen
15,19,Sirotkin,Sergey,Williams,0,1:45.902,172.110,+2 Laps,SIR,sirotkin
15,20,Ocon,Esteban,Force India,0,,,Collision,OCO,ocon
16,1,Hamilton,Lewis,Mercedes,25,1:35.916,219.492,Finished,HAM,hamilton
16,2,Bottas,Valtteri,Mercedes,18,1:35.861,219.617,Finished,BOT,bottas
16,3,Vettel,Sebastian,Ferrari,15,1:35.990,219.322,Finished,VET,vettel
16,4,Räikkönen,Kimi,Ferrari,12,1:36.611,217.913,Finished,RAI,raikkonen
16,5,Verstappen,Max,Red Bull,10,1:36.283,218.655,Finished,VER,max_verstappen
16,6,Ricciardo,Daniel,Red Bull,8,1:36.345,218.514,Finished,RIC,ricciardo
16,7,Leclerc,Charles,Sauber,6,1:38.107,214.590,Finished,LEC,leclerc
16,8,Magnussen,Kevin,Haas F1 Team,4,1:38.015,214.791,+1 Lap,MAG,kevin_magnussen
16,9,Ocon,Esteban,Force India,2,1:38.366,214.025,+1 Lap,OCO,ocon
16,10,Pérez,Sergio,Force India,1,1:38.300,214.168,+1 Lap,PER,perez
16,11,Grosjean,Romain,Haas F1 Team,0,1:38.244,214.290,+1 Lap,GRO,grosjean
16,12,Hülkenberg,Nico,Renault,0,1:39.108,212.422,+1 Lap,HUL,hulkenberg
16,13,Ericsson,Marcus,Sauber,0,1:37.931,214.975,+1 Lap,ERI,ericsson
16,14,Alonso,Fernando,McLaren,0,1:39.590,211.394,+1 Lap,ALO,alonso
16,15,Stroll,Lance,Williams,0,1:39.435,211.724,+1 Lap,STR,stroll
16,16,Vandoorne,Stoffel,McLaren,0,1:39.922,210.692,+2 Laps,VAN,vandoorne
16,17,Sainz,Carlos,Renault,0,1:39.731,211.095,+2 Laps,SAI,sainz
16,18,Sirotkin,Sergey,Williams,0,1:39.838,210.869,+2 Laps,SIR,sirotkin
16,19,Gasly,Pierre,Toro Rosso,0,1:44.071,202.292,Brakes,GAS,gasly
16,20,Hartley,Brendon,Toro Rosso,0,1:45.852,198.889,Brakes,HAR,brendon_hartley
17,1,Hamilton,Lewis,Mercedes,25,1:32.785,225.307,Finished,HAM,hamilton
17,2,Bottas,Valtteri,Mercedes,18,1:33.110,224.521,Finished,BOT,bottas
17,3,Verstappen,Max,Red Bull,15,1:33.367,223.903,Finished,VER,max_verstappen
17,4,Ricciardo,Daniel,Red Bull,12,1:33.187,224.336,Finished,RIC,ricciardo
17,5,Räikkönen,Kimi,Ferrari,10,1:34.223,221.869,Finished,RAI,raikkonen
17,6,Vettel,Sebastian,Ferrari,8,1:32.318,226.447,Finished,VET,vettel
17,7,Pérez,Sergio,Force India,6,1:34.073,222.223,Finished,PER,perez
17,8,Grosjean,Romain,Haas F1 Team,4,1:34.786,220.551,Finished,GRO,grosjean
17,9,Ocon,Esteban,Force India,2,1:34.670,220.821,Finished,OCO,ocon
17,10,Sainz,Carlos,Renault,1,1:34.197,221.930,+1 Lap,SAI,sainz
17,11,Gasly,Pierre,Toro Rosso,0,1:34.133,222.081,+1 Lap,GAS,gasly
17,12,Ericsson,Marcus,Sauber,0,1:36.294,217.097,+1 Lap,ERI,ericsson
17,13,Hartley,Brendon,Toro Rosso,0,1:34.857,220.386,+1 Lap,HAR,brendon_hartley
17,14,Alonso,Fernando,McLaren,0,1:33.943,222.530,+1 Lap,ALO,alonso
17,15,Vandoorne,Stoffel,McLaren,0,1:35.023,220.001,+1 Lap,VAN,vandoorne
17,16,Sirotkin,Sergey,Williams,0,1:33.985,222.431,+1 Lap,SIR,sirotkin
17,17,Stroll,Lance,Williams,0,1:33.354,223.934,+1 Lap,STR,stroll
17,18,Leclerc,Charles,Sauber,0,1:34.515,221.183,Mechanical,LEC,leclerc
17,19,Hülkenberg,Nico,Renault,0,1:34.934,220.207,Engine,HUL,hulkenberg
17,20,Magnussen,Kevin,Haas F1 Team,0,1:39.908,209.244,Collision damage,MAG,kevin_magnussen
18,1,Räikkönen,Kimi,Ferrari,25,1:38.482,201.527,Finished,RAI,raikkonen
18,2,Verstappen,Max,Red Bull,18,1:38.246,202.011,Finished,VER,max_verstappen
18,3,Hamilton,Lewis,Mercedes,15,1:37.392,203.782,Finished,HAM,hamilton
18,4,Vettel,Sebastian,Ferrari,12,1:38.280,201.941,Finished,VET,vettel
18,5,Bottas,Valtteri,Mercedes,10,1:38.470,201.551,Finished,BOT,bottas
18,6,Hülkenberg,Nico,Renault,8,1:39.548,199.369,Finished,HUL,hulkenberg
18,7,Sainz,Carlos,Renault,6,1:39.858,198.750,Finished,SAI,sainz
18,8,Pérez,Sergio,Force India,4,1:39.992,198.483,Finished,PER,perez
18,9,Hartley,Brendon,Toro Rosso,2,1:38.963,200.547,+1 Lap,HAR,brendon_hartley
18,10,Ericsson,Marcus,Sauber,1,1:39.569,199.327,+1 Lap,ERI,ericsson
18,11,Vandoorne,Stoffel,McLaren,0,1:39.915,198.636,+1 Lap,VAN,vandoorne
18,12,Gasly,Pierre,Toro Rosso,0,1:40.098,198.273,+1 Lap,GAS,gasly
18,13,Sirotkin,Sergey,Williams,0,1:39.240,199.987,+1 Lap,SIR,sirotkin
18,14,Stroll,Lance,Williams,0,1:39.646,199.173,+2 Laps,STR,stroll
18,15,Leclerc,Charles,Sauber,0,1:40.522,197.437,Collision damage,LEC,leclerc
18,16,Ricciardo,Daniel,Red Bull,0,1:40.433,197.612,Battery,RIC,ricciardo
18,17,Grosjean,Romain,Haas F1 Team,0,1:41.982,194.610,Collision damage,GRO,grosjean
18,18,Alonso,Fernando,McLaren,0,1:40.933,196.633,Collision,ALO,alonso
