Race ID,Year,Position,Driver ID,Last Name,First Name,Constructor,Constructor ID,Points,Status,Fastest Lap Time,Fastest Lap Avg Speed (kph),Total Points,Wins,Total Wins
13,2020,20,gasly,Gasly,Pierre,AlphaTauri,alphatauri,0,Water pressure,1:20.403,219.797,187.0,0,1.0
14,2020,1,hamilton,Hamilton,Lewis,Mercedes,mercedes,25,Finished,1:39.413,193.302,6348.0,1,156.0
14,2020,2,perez,Pérez,Sergio,Racing Point,racing_point,18,Finished,1:40.392,191.417,1148.0,0,0.0
14,2020,3,vettel,Vettel,Sebastian,Ferrari,ferrari,15,Finished,1:39.662,192.819,5443.0,0,100.0
14,2020,4,leclerc,Leclerc,Charles,Ferrari,ferrari,12,Finished,1:39.961,192.242,400.0,0,2.0
14,2020,5,sainz,Sainz,Carlos,McLaren,mclaren,10,Finished,1:38.754,194.592,460.0,0,0.0
14,2020,6,max_verstappen,Verstappen,Max,Red Bull,red_bull,8,Finished,1:38.431,195.231,1539.0,0,12.0
14,2020,7,albon,Albon,Alexander,Red Bull,red_bull,6,Finished,1:39.099,193.915,162.0,0,0.0
14,2020,8,norris,Norris,Lando,McLaren,mclaren,5,Finished,1:36.806,198.508,123.0,0,0.0
14,2020,9,stroll,Stroll,Lance,Racing Point,racing_point,2,Finished,1:39.921,192.319,166.0,0,0.0
14,2020,10,ricciardo,Ricciardo,Daniel,Renault,renault,1,Finished,1:40.677,190.875,1952.0,0,12.0
14,2020,11,ocon,Ocon,Esteban,Renault,renault,0,+1 Lap,1:41.006,190.254,263.0,0,0.0
14,2020,12,kvyat,Kvyat,Daniil,AlphaTauri,alphatauri,0,+1 Lap,1:41.019,190.229,329.0,0,0.0
14,2020,13,gasly,Gasly,Pierre,AlphaTauri,alphatauri,0,+1 Lap,1:39.586,192.966,187.0,0,1.0
14,2020,14,bottas,Bottas,Valtteri,Mercedes,mercedes,0,+1 Lap,1:38.193,195.704,2202.0,0,12.0
14,2020,15,raikkonen,Räikkönen,Kimi,Alfa Romeo,alfa,0,+1 Lap,1:39.743,192.663,3428.0,0,41.0
14,2020,16,russell,Russell,George,Williams,williams,0,+1 Lap,1:40.814,190.616,0.0,0,0.0
14,2020,17,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,0,Withdrew,1:40.948,190.363,239.0,0,0.0
14,2020,18,grosjean,Grosjean,Romain,Haas F1 Team,haas,0,Collision damage,1:43.281,186.063,735.0,0,0.0
14,2020,19,latifi,Latifi,Nicholas,Williams,williams,0,Collision damage,1:43.495,185.678,0.0,0,0.0
14,2020,20,giovinazzi,Giovinazzi,Antonio,Alfa Romeo,alfa,0,Gearbox,1:51.122,172.934,18.0,0,0.0
15,2020,1,hamilton,Hamilton,Lewis,Mercedes,mercedes,25,Finished,1:32.864,209.803,6373.0,1,157.0
15,2020,2,max_verstappen,Verstappen,Max,Red Bull,red_bull,19,Finished,1:32.014,211.741,1558.0,0,12.0
15,2020,3,albon,Albon,Alexander,Red Bull,red_bull,15,Finished,1:33.684,207.967,177.0,0,0.0
15,2020,4,norris,Norris,Lando,McLaren,mclaren,12,Finished,1:33.588,208.180,135.0,0,0.0
15,2020,5,sainz,Sainz,Carlos,McLaren,mclaren,10,Finished,1:33.411,208.575,470.0,0,0.0
15,2020,6,gasly,Gasly,Pierre,AlphaTauri,alphatauri,8,Finished,1:34.817,205.482,195.0,0,1.0
15,2020,7,ricciardo,Ricciardo,Daniel,Renault,renault,6,Finished,1:32.827,209.887,1958.0,0,12.0
15,2020,8,bottas,Bottas,Valtteri,Mercedes,mercedes,4,Finished,1:33.352,208.706,2206.0,0,12.0
15,2020,9,ocon,Ocon,Esteban,Renault,renault,2,Finished,1:34.354,206.490,265.0,0,0.0
15,2020,10,leclerc,Leclerc,Charles,Ferrari,ferrari,1,+1 Lap,1:33.625,208.098,401.0,0,2.0
15,2020,11,kvyat,Kvyat,Daniil,AlphaTauri,alphatauri,0,+1 Lap,1:34.141,206.957,329.0,0,0.0
15,2020,12,russell,Russell,George,Williams,williams,0,+1 Lap,1:35.042,204.995,0.0,0,0.0
15,2020,13,vettel,Vettel,Sebastian,Ferrari,ferrari,0,+1 Lap,1:33.861,207.575,5443.0,0,100.0
15,2020,14,latifi,Latifi,Nicholas,Williams,williams,0,+1 Lap,1:34.591,205.973,0.0,0,0.0
15,2020,15,raikkonen,Räikkönen,Kimi,Alfa Romeo,alfa,0,+1 Lap,1:33.573,208.213,3428.0,0,41.0
15,2020,16,giovinazzi,Giovinazzi,Antonio,Alfa Romeo,alfa,0,+1 Lap,1:34.536,206.092,18.0,0,0.0
15,2020,17,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,0,+1 Lap,1:35.241,204.567,239.0,0,0.0
15,2020,18,perez,Pérez,Sergio,Racing Point,racing_point,0,Engine,1:33.629,208.089,1148.0,0,0.0
15,2020,19,stroll,Stroll,Lance,Racing Point,racing_point,0,Collision,,,166.0,0,0.0
15,2020,20,grosjean,Grosjean,Romain,Haas F1 Team,haas,0,Collision,,,735.0,0,0.0
16,2020,1,perez,Pérez,Sergio,Racing Point,racing_point,25,Finished,0:56.789,224.599,1173.0,1,1.0
16,2020,2,ocon,Ocon,Esteban,Renault,renault,18,Finished,0:57.350,222.402,283.0,0,0.0
16,2020,3,stroll,Stroll,Lance,Racing Point,racing_point,15,Finished,0:57.388,222.255,181.0,0,0.0
16,2020,4,sainz,Sainz,Carlos,McLaren,mclaren,12,Finished,0:57.165,223.122,482.0,0,0.0
16,2020,5,ricciardo,Ricciardo,Daniel,Renault,renault,10,Finished,0:56.979,223.850,1968.0,0,12.0
16,2020,6,albon,Albon,Alexander,Red Bull,red_bull,8,Finished,0:57.056,223.548,185.0,0,0.0
16,2020,7,kvyat,Kvyat,Daniil,AlphaTauri,alphatauri,6,Finished,0:57.001,223.764,335.0,0,0.0
16,2020,8,bottas,Bottas,Valtteri,Mercedes,mercedes,4,Finished,0:56.563,225.497,2210.0,0,12.0
16,2020,9,russell,Russell,George,Mercedes,mercedes,3,Finished,0:55.404,230.214,3.0,0,0.0
16,2020,10,norris,Norris,Lando,McLaren,mclaren,1,Finished,0:57.270,222.713,136.0,0,0.0
16,2020,11,gasly,Gasly,Pierre,AlphaTauri,alphatauri,0,Finished,0:57.220,222.908,195.0,0,1.0
16,2020,12,vettel,Vettel,Sebastian,Ferrari,ferrari,0,Finished,0:56.905,224.141,5443.0,0,100.0
16,2020,13,giovinazzi,Giovinazzi,Antonio,Alfa Romeo,alfa,0,Finished,0:56.887,224.212,18.0,0,0.0
16,2020,14,raikkonen,Räikkönen,Kimi,Alfa Romeo,alfa,0,Finished,0:57.375,222.305,3428.0,0,41.0
16,2020,15,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,0,Finished,0:57.516,221.760,239.0,0,0.0
16,2020,16,aitken,Aitken,Jack,Williams,williams,0,Finished,0:57.392,222.240,0.0,0,0.0
16,2020,17,pietro_fittipaldi,Fittipaldi,Pietro,Haas F1 Team,haas,0,Finished,0:57.742,220.892,0.0,0,0.0
16,2020,18,latifi,Latifi,Nicholas,Williams,williams,0,Engine,0:58.206,219.132,0.0,0,0.0
16,2020,19,max_verstappen,Verstappen,Max,Red Bull,red_bull,0,Accident,,,1558.0,0,12.0
16,2020,20,leclerc,Leclerc,Charles,Ferrari,ferrari,0,Collision,,,401.0,0,2.0
17,2020,1,max_verstappen,Verstappen,Max,Red Bull,red_bull,25,Finished,1:40.958,198.046,1583.0,1,13.0
17,2020,2,bottas,Bottas,Valtteri,Mercedes,mercedes,18,Finished,1:41.131,197.707,2228.0,0,12.0
17,2020,3,hamilton,Hamilton,Lewis,Mercedes,mercedes,15,Finished,1:41.420,197.144,6388.0,0,157.0
17,2020,4,albon,Albon,Alexander,Red Bull,red_bull,12,Finished,1:41.227,197.520,197.0,0,0.0
17,2020,5,norris,Norris,Lando,McLaren,mclaren,10,Finished,1:41.964,196.092,146.0,0,0.0
17,2020,6,sainz,Sainz,Carlos,McLaren,mclaren,8,Finished,1:41.947,196.125,490.0,0,0.0
17,2020,7,ricciardo,Ricciardo,Daniel,Renault,renault,7,Finished,1:40.926,198.109,1975.0,0,12.0
17,2020,8,gasly,Gasly,Pierre,AlphaTauri,alphatauri,4,Finished,1:42.474,195.116,199.0,0,1.0
17,2020,9,ocon,Ocon,Esteban,Renault,renault,2,Finished,1:42.894,194.320,285.0,0,0.0
17,2020,10,stroll,Stroll,Lance,Racing Point,racing_point,1,Finished,1:41.866,196.281,182.0,0,0.0
17,2020,11,kvyat,Kvyat,Daniil,AlphaTauri,alphatauri,0,+1 Lap,1:42.704,194.679,335.0,0,0.0
17,2020,12,raikkonen,Räikkönen,Kimi,Alfa Romeo,alfa,0,+1 Lap,1:42.148,195.739,3428.0,0,41.0
17,2020,13,leclerc,Leclerc,Charles,Ferrari,ferrari,0,+1 Lap,1:41.908,196.200,401.0,0,2.0
17,2020,14,vettel,Vettel,Sebastian,Ferrari,ferrari,0,+1 Lap,1:41.475,197.037,5443.0,0,100.0
17,2020,15,russell,Russell,George,Williams,williams,0,+1 Lap,1:43.328,193.504,3.0,0,0.0
17,2020,16,giovinazzi,Giovinazzi,Antonio,Alfa Romeo,alfa,0,+1 Lap,1:41.675,196.650,18.0,0,0.0
17,2020,17,latifi,Latifi,Nicholas,Williams,williams,0,+1 Lap,1:42.497,195.073,0.0,0,0.0
17,2020,18,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,0,+1 Lap,1:41.999,196.025,239.0,0,0.0
17,2020,19,pietro_fittipaldi,Fittipaldi,Pietro,Haas F1 Team,haas,0,+2 Laps,1:41.707,196.588,0.0,0,0.0
17,2020,20,perez,Pérez,Sergio,Racing Point,racing_point,0,Transmission,1:43.263,193.625,1173.0,0,1.0
