Race ID,Position,Driver ID,Last Name,First Name,Constructor,Constructor ID,Points,Status,Fastest Lap Time,Fastest Lap Avg Speed (kph)
21,7,leclerc,Leclerc,Charles,Sauber,sauber,6,Finished,1:42.876,194.354
21,8,perez,Pérez,Sergio,Force India,force_india,4,Finished,1:42.816,194.467
21,9,grosjean,Grosjean,Romain,Haas F1 Team,haas,2,+1 Lap,1:43.195,193.753
21,10,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,1,+1 Lap,1:42.822,194.456
21,11,alonso,Alonso,Fernando,McLaren,mclaren,0,+1 Lap,1:42.393,195.271
21,12,brendon_hartley,Hartley,Brendon,Toro Rosso,toro_rosso,0,+1 Lap,1:44.174,191.932
21,13,stroll,Stroll,Lance,Williams,williams,0,+1 Lap,1:44.033,192.192
21,14,vandoorne,Vandoorne,Stoffel,McLaren,mclaren,0,+1 Lap,1:43.249,193.652
21,15,sirotkin,Sirotkin,Sergey,Williams,williams,0,+1 Lap,1:43.831,192.566
21,16,gasly,Gasly,Pierre,Toro Rosso,toro_rosso,0,Engine,1:43.988,192.276
21,17,ocon,Ocon,Esteban,Force India,force_india,0,Engine,1:43.591,193.012
21,18,ericsson,Ericsson,Marcus,Sauber,sauber,0,Power loss,1:46.077,188.489
21,19,raikkonen,Räikkönen,Kimi,Ferrari,ferrari,0,Power loss,1:45.198,190.064
21,20,hulkenberg,Hülkenberg,Nico,Renault,renault,0,Collision,,
