Constructor,Race ID,Year,Constructor ID,Status,Status_value,StatusComponent,Round,Mean,StdDev,PitStopComponent,ConstructorConfidence
Alpine F1 Team,20,2022,alpine,+1 Lap Engine,0.8,-1.8874172520336154,20,22.751,0.0,-0.103,0.194
Alpine F1 Team,21,2021,alpine,Finished +1 Lap,1.8,0.39700080859461506,21,17.627,2.2334,-0.108,-0.043
Alpine F1 Team,21,2022,alpine,Finished Finished,2.0,0.853884420720261,21,25.017,1.9011,-0.109,-0.093
Alpine F1 Team,22,2021,alpine,Finished Finished,2.0,0.853884420720261,22,21.49,0.0,-0.102,-0.087
Alpine F1 Team,22,2022,alpine,Finished Water leak,1.3,-0.7452082217195002,22,21.777,0.0569,0.094,-0.07
Aston Martin,1,2021,aston_martin,Finished +1 Lap,1.8,0.39700080859461506,1,25.012,0.3022,-0.08,-0.032
Aston Martin,1,2022,aston_martin,Finished Finished,2.0,0.853884420720261,1,26.281,0.0,-0.105,-0.09
Aston Martin,2,2021,aston_martin,Finished Gearbox,1.0,-1.4305336399079696,2,29.809,4.8668,-0.113,0.162
Aston Martin,2,2022,aston_martin,Finished +1 Lap,1.8,0.39700080859461506,2,22.034,0.0,-0.103,-0.041
Aston Martin,3,2021,aston_martin,+1 Lap +1 Lap,1.6,-0.059882803531030954,3,21.919,0.1245,-0.02,0.001
Aston Martin,3,2022,aston_martin,Finished Accident,1.6,-0.059882803531030954,3,19.068,1.1662,-0.103,0.006
Aston Martin,4,2021,aston_martin,+1 Lap +1 Lap,1.6,-0.059882803531030954,4,22.062,0.5084,-0.091,0.005
Aston Martin,4,2022,aston_martin,Finished +1 Lap,1.8,0.39700080859461506,4,31.576,0.0,-0.106,-0.042
Aston Martin,5,2021,aston_martin,Finished +1 Lap,1.8,0.39700080859461506,5,23.922,0.0,-0.104,-0.041
Aston Martin,5,2022,aston_martin,Finished Collision,1.6,-0.059882803531030954,5,19.468,0.0,-0.101,0.006
Aston Martin,6,2021,aston_martin,Finished Accident,1.6,-0.059882803531030954,6,17.393,3.462,-0.11,0.007
Aston Martin,6,2022,aston_martin,+1 Lap +1 Lap,1.6,-0.059882803531030954,6,22.825,0.1983,-0.057,0.003
Aston Martin,7,2021,aston_martin,Finished Finished,2.0,0.853884420720261,7,31.032,0.0,-0.106,-0.091
Aston Martin,7,2022,aston_martin,Finished Finished,2.0,0.853884420720261,7,27.353,2.128,-0.11,-0.094
Aston Martin,8,2021,aston_martin,+1 Lap +1 Lap,1.6,-0.059882803531030954,8,21.241,0.0,-0.102,0.006
Aston Martin,8,2022,aston_martin,Finished Vibrations,1.3,-0.7452082217195002,8,21.154,0.0,-0.102,0.076
Aston Martin,9,2021,aston_martin,+1 Lap Collision,1.4,-0.5167664156566775,9,21.197,0.1153,-0.009,0.005
Aston Martin,9,2022,aston_martin,Finished Finished,2.0,0.853884420720261,9,24.398,0.0972,-0.005,-0.004
Aston Martin,10,2021,aston_martin,Finished Retired,1.0,-1.4305336399079696,10,31.1,4.1309,-0.112,0.16
Aston Martin,10,2022,aston_martin,Finished Finished,2.0,0.853884420720261,10,40.124,15.393,-0.114,-0.097
Aston Martin,11,2021,aston_martin,Collision Disqualified,1.1,-1.2020918338451463,11,32.446,11.9296,-0.114,0.137
Aston Martin,11,2022,aston_martin,+1 Lap +1 Lap,1.6,-0.059882803531030954,11,21.772,0.0,-0.102,0.006
Aston Martin,12,2022,aston_martin,Finished Finished,2.0,0.853884420720261,12,38.258,0.0,-0.108,-0.092
Aston Martin,13,2021,aston_martin,+2 Laps +2 Laps,1.6,-0.059882803531030954,13,19.031,0.006,2.149,-0.129
Aston Martin,13,2022,aston_martin,+1 Lap +1 Lap,1.6,-0.059882803531030954,13,21.59,0.0,-0.102,0.006
Aston Martin,14,2021,aston_martin,Finished Finished,2.0,0.853884420720261,14,25.194,0.2722,-0.077,-0.066
Aston Martin,14,2022,aston_martin,Finished Finished,2.0,0.853884420720261,14,23.337,0.0728,0.038,0.032
Aston Martin,15,2021,aston_martin,Finished +1 Lap,1.8,0.39700080859461506,15,32.962,4.5548,-0.113,-0.045
Aston Martin,15,2022,aston_martin,Finished Finished,2.0,0.853884420720261,15,20.492,1.1469,-0.103,-0.088
Aston Martin,16,2021,aston_martin,Finished +1 Lap,1.8,0.39700080859461506,16,29.508,0.0049,1.673,0.664
Aston Martin,16,2022,aston_martin,Engine Engine,0.0,-3.7149517005362,16,24.254,0.0,-0.104,0.386
Aston Martin,17,2021,aston_martin,+1 Lap +1 Lap,1.6,-0.059882803531030954,17,24.402,0.0,-0.104,0.006
Aston Martin,17,2022,aston_martin,Finished Finished,2.0,0.853884420720261,17,29.784,0.0,-0.106,-0.091
Aston Martin,18,2021,aston_martin,+1 Lap +2 Laps,1.6,-0.059882803531030954,18,23.549,0.8733,-0.102,0.006
Aston Martin,18,2022,aston_martin,Finished Finished,2.0,0.853884420720261,18,10.587,6.4237,-0.111,-0.095
Aston Martin,19,2021,aston_martin,+1 Lap Collision damage,0.8,-1.8874172520336154,19,18.028,0.0,-0.1,0.189
