Constructor,Race ID,Year,status_value,StatusComponent,Round,Mean,StdDev,intermediate,PitStopComponent,ConstructorConfidance
Force India,10,2021,2.0,1.0,10,1050.01575,1444.8790157062026,1517145.7233360102,0.0,0.0
Force India,10,2022,2.0,1.0,10,1513.294,2092.289367551248,3166248.946179098,0.0,0.0
Force India,11,2018,2.0,1.0,11,22.35,0.0,22.35,0.04,0.08
Force India,11,2020,2.0,1.0,11,22.88,0.0,22.88,0.039,0.078
Force India,11,2021,2.0,1.0,11,744.856,997.4929088028648,742988.5780792667,0.0,0.0
Force India,11,2022,2.0,1.0,11,22.8065,0.12515790027001925,2.854413652508194,0.315,0.63
Force India,12,2018,-0.4,0.4,12,22.4095,0.0,22.4095,0.04,-0.016
Force India,12,2019,-0.4,0.4,12,21.901,0.0,21.901,0.041,-0.0164
Force India,12,2020,-0.4,0.4,12,27.470499999999998,0.1619274528917207,4.448228094662013,0.202,-0.08080000000000001
Force India,12,2022,-0.4,0.4,12,41.404,0.0,41.404,0.022,-0.0088
Force India,13,2018,2.0,1.0,13,21.40775,2.5218963351018227,53.988126267776046,0.017,0.034
Force India,13,2019,2.0,1.0,13,23.133,0.0,23.133,0.039,0.078
Force India,13,2020,2.0,1.0,13,30.414499999999997,0.20152543263816608,6.129295270973501,0.147,0.294
Force India,13,2021,2.0,1.0,13,19.080499999999997,0.25880108191427614,4.938054043465345,0.182,0.364
Force India,13,2022,2.0,1.0,13,22.361749999999997,0.0173241161390721,0.3873975540728955,2.324,4.648
Force India,14,2018,2.0,1.0,14,25.241000000000003,0.0,25.241000000000003,0.036,0.072
Force India,14,2019,2.0,1.0,14,25.34,0.0,25.34,0.036,0.072
Force India,14,2020,2.0,1.0,14,24.880000000000003,0.7933738084913062,19.7391403552637,0.046,0.092
Force India,14,2021,2.0,1.0,14,27.1195,0.0,27.1195,0.033,0.066
Force India,14,2022,2.0,1.0,14,23.00525,0.10641957056857546,2.4482088258227206,0.368,0.736
Force India,15,2018,-0.6000000000000001,0.35,15,28.293,3.4357865183972067,97.20870796501217,0.009,-0.0054
Force India,15,2019,-0.6000000000000001,0.35,15,29.082,0.0,29.082,0.031,-0.018600000000000002
Force India,15,2020,-0.6000000000000001,0.35,15,593.19525,804.6857492233381,477335.76418197533,0.0,-0.0
Force India,15,2021,-0.6000000000000001,0.35,15,32.9635,0.0,32.9635,0.027,-0.016200000000000003
Force India,15,2022,-0.6000000000000001,0.35,15,19.120749999999997,0.034294678887548,0.6557399813390834,1.373,-0.8238000000000001
Force India,16,2018,-0.4,0.4,16,30.282999999999998,0.0,30.282999999999998,0.03,-0.012
Force India,16,2019,-0.4,0.4,16,30.271000000000004,0.0,30.271000000000004,0.03,-0.012
Force India,16,2020,-0.4,0.4,16,24.38725,0.10359114344382955,2.5263031129505324,0.356,-0.1424
Force India,16,2021,-0.4,0.4,16,22.463,0.0,22.463,0.04,-0.016
Force India,16,2022,-0.4,0.4,16,23.91725,0.14106780284671655,3.3739539076356313,0.267,-0.1068
Force India,17,2018,2.0,1.0,17,23.4755,0.0,23.4755,0.038,0.076
Force India,17,2019,2.0,1.0,17,23.0905,0.2976919548795361,6.8738560841459275,0.131,0.262
Force India,17,2020,2.0,1.0,17,21.615,0.0,21.615,0.042,0.084
Force India,17,2021,2.0,1.0,17,28.335249999999995,6.468259280903942,183.27974378923338,0.005,0.01
Force India,17,2022,2.0,1.0,17,29.55,0.0,29.55,0.03,0.06
Force India,18,2018,0.5,0.625,18,25.1285,0.0,25.1285,0.036,0.018
Force India,18,2019,0.5,0.625,18,22.357,0.0,22.357,0.04,0.02
Force India,18,2021,0.5,0.625,18,22.607000000000003,0.0,22.607000000000003,0.04,0.02
Force India,18,2022,0.5,0.625,18,209.15300000000002,260.08235940178645,54397.005715961845,0.0,0.0
Force India,19,2018,-1.2,0.2,19,24.517999999999997,1.785444622496032,43.77553125435771,0.021,-0.0252
Force India,19,2019,-1.2,0.2,19,24.207,0.0,24.207,0.037,-0.044399999999999995
Force India,19,2021,-1.2,0.2,19,18.7535,0.060811183182043906,1.1404225238044603,0.79,-0.948
Force India,19,2022,-1.2,0.2,19,24.1095,0.0,24.1095,0.037,-0.044399999999999995
Force India,20,2018,-0.4,0.4,20,26.3585,1.4043140674364838,37.015612346524556,0.024,-0.009600000000000001
Force India,20,2019,-0.4,0.4,20,23.1105,0.0445477272147504,1.029520249796489,0.875,-0.35000000000000003
Force India,20,2021,-0.4,0.4,20,25.46825,0.0003535533905943,0.009004386140003281,100.0,-40.0
Force India,20,2022,-0.4,0.4,20,23.6175,0.0,23.6175,0.038,-0.0152
Force India,21,2018,0.0,0.5,21,22.045499999999997,0.0,22.045499999999997,0.041,0.0
Force India,21,2019,0.0,0.5,21,22.23,0.0,22.23,0.041,0.0
Force India,21,2021,0.0,0.5,21,777.18625,379.3885975040961,294855.60138696776,0.0,0.0
Force India,21,2022,0.0,0.5,21,23.3685,0.0,23.3685,0.039,0.0
Haas F1 Team,1,2018,-1.8,0.04999999999999999,1,22.5185,0.0,22.5185,0.04,-0.07200000000000001
Haas F1 Team,1,2019,-1.8,0.04999999999999999,1,26.184500000000003,0.0,26.184500000000003,0.034,-0.061200000000000004
Haas F1 Team,1,2020,-1.8,0.04999999999999999,1,23.28,0.0,23.28,0.039,-0.0702
Haas F1 Team,1,2022,-1.8,0.04999999999999999,1,25.478,0.0,25.478,0.035,-0.06300000000000001
Haas F1 Team,2,2018,0.8,0.7,2,25.06825,0.35107851685912156,8.800924030253674,0.102,0.0816
Haas F1 Team,2,2019,0.8,0.7,2,28.514999999999997,0.0,28.514999999999997,0.032,0.0256
Haas F1 Team,2,2020,0.8,0.7,2,22.2105,0.0,22.2105,0.041,0.0328
Haas F1 Team,2,2022,0.8,0.7,2,22.374,0.0,22.374,0.04,0.032
Haas F1 Team,3,2018,2.0,1.0,3,23.1655,0.26657925650732767,6.1754417666205,0.146,0.292
Haas F1 Team,3,2019,2.0,1.0,3,23.532,0.29698484809834924,6.988647445450354,0.129,0.258
Haas F1 Team,3,2020,2.0,1.0,3,22.591,0.0,22.591,0.04,0.08
Haas F1 Team,3,2022,2.0,1.0,3,19.111,0.0,19.111,0.047,0.094
Haas F1 Team,4,2018,0.6,0.65,4,25.467000000000002,5.2545104909972356,133.81661867422662,0.007,0.0042
Haas F1 Team,4,2019,0.6,0.65,4,20.69725,0.2619830624296164,5.422328938871378,0.166,0.09960000000000001
Haas F1 Team,4,2020,0.6,0.65,4,33.816,0.0,33.816,0.027,0.0162
Haas F1 Team,4,2022,0.6,0.65,4,33.765,0.0,33.765,0.027,0.0162
Haas F1 Team,5,2018,-0.6000000000000001,0.35,5,22.917,0.0,22.917,0.039,-0.023400000000000004
Haas F1 Team,5,2019,-0.6000000000000001,0.35,5,22.44375,0.34188612870369717,7.673206801093603,0.117,-0.07020000000000001
Haas F1 Team,5,2020,-0.6000000000000001,0.35,5,29.26925,0.16086679271993895,4.708450372818073,0.191,-0.11460000000000002
Haas F1 Team,5,2022,-0.6000000000000001,0.35,5,20.216500000000003,0.6455884912233169,13.051539732816188,0.069,-0.041400000000000006
Haas F1 Team,6,2018,0.8,0.7,6,24.445749999999997,0.0611647365726351,1.4952178590704943,0.602,0.48160000000000003
Haas F1 Team,6,2019,0.8,0.7,6,24.819,0.0,24.819,0.036,0.0288
Haas F1 Team,6,2020,0.8,0.7,6,23.68,0.0,23.68,0.038,0.0304
Haas F1 Team,6,2022,0.8,0.7,6,26.755000000000003,4.068692418947396,108.85786566893759,0.008,0.0064
Haas F1 Team,7,2018,-0.4,0.4,7,24.204,0.0,24.204,0.037,-0.0148
Haas F1 Team,7,2019,-0.4,0.4,7,24.226000000000003,0.0,24.226000000000003,0.037,-0.0148
Haas F1 Team,7,2020,-0.4,0.4,7,24.44175,0.6424065107079785,15.701539333096733,0.057,-0.0228
Haas F1 Team,8,2018,0.8,0.7,8,27.7075,0.0,27.7075,0.032,0.0256
Haas F1 Team,8,2019,0.8,0.7,8,30.834500000000002,0.0,30.834500000000002,0.029,0.023200000000000002
Haas F1 Team,8,2020,0.8,0.7,8,33.007,0.0,33.007,0.027,0.0216
Haas F1 Team,8,2022,0.8,0.7,8,21.555,0.0,21.555,0.042,0.033600000000000005
Haas F1 Team,9,2018,-0.4,0.4,9,22.1295,0.0,22.1295,0.041,-0.0164
Haas F1 Team,9,2019,-0.4,0.4,9,21.4285,1.9057581824565255,40.837539212769656,0.022,-0.0088
Haas F1 Team,9,2020,-0.4,0.4,9,737.716,1008.2423460904627,743796.5105884718,0.0,-0.0
Haas F1 Team,9,2022,-0.4,0.4,9,38.262,0.0,38.262,0.024,-0.009600000000000001
Haas F1 Team,10,2018,0.6,0.65,10,28.851999999999997,0.0,28.851999999999997,0.031,0.0186
Haas F1 Team,10,2019,0.6,0.65,10,33.1645,0.0,33.1645,0.027,0.0162
Haas F1 Team,10,2020,0.6,0.65,10,30.1045,0.0233345237791563,0.7024741711096109,1.282,0.7692
Haas F1 Team,10,2022,0.6,0.65,10,1546.543,2145.460969069351,3318047.643487421,0.0,0.0
Haas F1 Team,11,2018,2.0,1.0,11,20.008000000000003,0.0,20.008000000000003,0.045,0.09
Haas F1 Team,11,2019,2.0,1.0,11,24.18725,0.025809397513308453,0.6242583500037698,1.442,2.884
Haas F1 Team,11,2020,2.0,1.0,11,23.35,0.03464823227814235,0.8090362236946239,1.113,2.226
Haas F1 Team,11,2022,2.0,1.0,11,22.1465,0.0827314933988241,1.832213018557058,0.491,0.982
Haas F1 Team,12,2018,-0.4,0.4,12,23.4295,0.0,23.4295,0.038,-0.0152
Haas F1 Team,12,2019,-0.4,0.4,12,21.8265,0.0,21.8265,0.041,-0.0164
Haas F1 Team,12,2020,-0.4,0.4,12,27.142500000000002,0.0,27.142500000000002,0.033,-0.013200000000000002
Haas F1 Team,12,2022,-0.4,0.4,12,36.591,0.2658721497261452,9.72852783062938,0.093,-0.037200000000000004
Haas F1 Team,13,2018,2.0,1.0,13,21.963250000000002,2.563615635191826,56.305331099626876,0.016,0.032
Haas F1 Team,13,2019,2.0,1.0,13,22.747999999999998,0.0,22.747999999999998,0.04,0.08
Haas F1 Team,13,2020,2.0,1.0,13,30.759249999999998,0.2747109844909741,8.449903849703993,0.107,0.214
Haas F1 Team,13,2022,2.0,1.0,13,26.4255,4.547403709810685,120.16741673360225,0.007,0.014
Haas F1 Team,14,2018,-0.7,0.325,14,31.671,0.0,31.671,0.028,-0.0196
Haas F1 Team,14,2019,-0.7,0.325,14,25.244999999999997,0.6851864709697673,17.29753245963177,0.052,-0.036399999999999995
Haas F1 Team,14,2020,-0.7,0.325,14,57.971999999999994,45.75405138345674,2652.453866801754,0.0,-0.0
Haas F1 Team,14,2022,-0.7,0.325,14,25.1055,2.417598084876805,60.69500871987463,0.015,-0.010499999999999999
Haas F1 Team,15,2018,-0.4,0.4,15,29.66566666666667,0.3888355479291119,11.535065753015726,0.078,-0.031200000000000002
Haas F1 Team,15,2019,-0.4,0.4,15,33.33775,5.527100155144649,184.26108319717352,0.005,-0.002
Haas F1 Team,15,2020,-0.4,0.4,15,597.6435,791.0354063659224,472757.1688844522,0.0,-0.0
